StudyID,Correlation,Directionality (positive or negative - because excel thinks I want to calculate something if I start with minus sign),SignificanceLevel<than,Nonsignificant,N,Variable1,Measure1,Variable2,Measure2,Same_variable,Type_Same,InPaper (as opposed to supplementary material),"InTable (1 in table, 0 in text)","type_p(1: p=, 2: p<, 3: p>)",MainCor,corr_Type(when different),ProvisionallySuspicious,Corr_Comments,N as range
27,.18,P,0.05,,164,physical aggression T1 teacher,,male play partner T1,,,,1,1,2,1,,,,
27,.21,P,0.01,,164,physical aggression T1 teacher,,relational aggression T2 observer,,,,1,1,2,,,,,
27,.50,P,0.01,,164,physical aggression T1 teacher,,physical aggression T2 observer,,,,1,1,2,,,,,
27,.37,P,0.01,,164,physical aggression T1 teacher,,relational aggression T2 teacher,,,,1,1,2,,,,,
27,.70,P,0.01,,164,physical aggression T1 teacher,,physical aggression T2 teacher,,1,change,1,1,2,,,,,
27,.01,N,,1,164,physical aggression T1 teacher,,female play partner T2,,,,1,1,2,,,,,
27,.31,P,0.01,,164,physical aggression T1 teacher,,male play partner T2,,,,1,1,2,,,,,
27,.21,N,0.01,,164,female play partner T1,,male play partner T1,,,,1,1,2,,,,,
27,.15,P,,1,164,female play partner T1,,relational aggression T2 observer,,,,1,1,2,1,,,,
27,.00,0,,1,164,female play partner T1,,physical aggression T2 observer,,,,1,1,2,,,,,
27,.05,N,,1,164,female play partner T1,,relational aggression T2 teacher,,,,1,1,2,1,,,,
27,.08,N,,1,164,female play partner T1,,physical aggression T2 teacher,,,,1,1,2,,,,,
27,.50,P,0.01,,164,female play partner T1,,female play partner T2,,,,1,1,2,,,,,
27,.24,N,0.01,,164,female play partner T1,,male play partner T2,,,,1,1,2,,,,,
27,.04,P,,1,164,male play partner T1,,relational aggression T2 observer,,,,1,1,2,,,,,
27,.32,P,0.01,,164,male play partner T1,,physical aggression T1 observer,,,,1,1,2,1,,,,
27,.04,P,,1,164,male play partner T1,,relational aggression T2 teacher,,,,1,1,2,,,,,
27,.19,P,0.05,,164,male play partner T1,,physical aggression T2 teacher,,,,1,1,2,1,,,,
27,.21,N,0.01,,164,male play partner T1,,female play partner T2,,,,1,1,2,,,,,
27,.56,P,0.01,,164,male play partner T1,,male play partner T2,,1,change,1,1,2,,,,,
27,.53,P,0.01,,164,relational aggression T2 observer,,physical aggression T2 observer,,,,1,1,2,,,,,
27,.22,P,0.01,,164,relational aggression T2 observer,,relational aggression T2 teacher,,,,1,1,2,,,,,
27,.20,P,0.05,,164,relational aggression T2 observer,,physical aggression T2 teacher,,,,1,1,2,,,,,
27,.32,P,0.01,,164,relational aggression T2 observer,,female play partner T2,,,,1,1,2,1,,,,
27,.17,P,0.05,,164,relational aggression T2 observer,,male play partner T2,,,,1,1,2,,,,,
27,.32,P,0.01,,164,physical aggression T2 observer,,relational aggression T2 teacher,,,,1,1,2,,,,,
27,.57,P,0.01,,164,physical aggression T2 observer,,physical aggression T2 teacher,,,,1,1,2,,,,,
27,.03,P,,1,164,physical aggression T2 observer,,female play partner T2,,,,1,1,2,,,,,
27,.33,P,0.01,,164,physical aggression T2 observer,,male play partner T2,,,,1,1,2,1,,,,
27,.63,P,0.01,,164,relational aggression T2 teacher,,physical aggression T2 teacher,,,,1,1,2,,,,,
27,.07,P,,1,164,relational aggression T2 teacher,,female play partner T2,,,,1,1,2,1,,,,
27,.20,P,0.05,,164,relational aggression T2 teacher,,male play partner T2,,,,1,1,2,,,,,
27,.09,N,,1,164,physical aggression T2 teacher,,female play partner T2,,,,1,1,2,,,,,
27,.28,P,0.01,,164,physical aggression T2 teacher,,male play partner T2,,,,1,1,2,1,,,,
27,.21,N,0.05,,164,female play partner T2,,male play partner T2,,,,1,1,2,,,,,
28,.66,P,0.01,,256,maternal PSI parent domain,"Parenting
Stress Index (PSI; Abidin, 1995).",maternal PSI child domain,"Parenting
Stress Index (PSI; Abidin, 1995).",,,1,1,2,,,,,
28,.04,P,,1,256,postconceptual age,,maternal PSI child domain,,,,1,1,2,,,,,
28,.03,P,,1,256,low-pleasure exuberance,,maternal PSI child domain,,,,1,1,2,1,,,,
28,.08,P,,1,256,high-pleasure exuberance,,maternal PSI child domain,,,,1,1,2,1,,,,
28,.51,P,0.01,,256,internalizing problems - maternal," mother report on the Child Behavior
Checklist (CBCL) 1.5–5 years (Achenbach &
Rescorla, 2000).",maternal PSI child domain,,,,1,1,2,1,,,,
28,.53,P,0.01,,256,externalizing problems - maternal," mother report on the Child Behavior
Checklist (CBCL) 1.5–5 years (Achenbach &
Rescorla, 2000).",maternal PSI child domain,,,,1,1,2,1,,,,
28,.34,P,0.01,,256,internalizing problems - paternal," father report on the Child Behavior
Checklist (CBCL) 1.5–5 years (Achenbach &
Rescorla, 2000).",maternal PSI child domain,,,,1,1,2,1,,,,
28,.32,P,0.01,,256,externalizing problems - paternal," father report on the Child Behavior
Checklist (CBCL) 1.5–5 years (Achenbach &
Rescorla, 2000).",maternal PSI child domain,,,,1,1,2,1,,,,
28,.50,P,0.01,,256,internalizing problems - average,,maternal PSI child domain,,,,1,1,2,1,,,,
28,.48,P,0.01,,256,externalizing problems - average,,maternal PSI child domain,,,,1,1,2,1,,,,
28,.02,P,,1,256,postconceptual age,,maternal PSI parent domain,,,,1,1,2,,,,,
28,.07,P,,1,256,low-pleasure exuberance,,maternal PSI parent domain,,,,1,1,2,1,,,,
28,.04,P,,1,256,high-pleasure exuberance,,maternal PSI parent domain,,,,1,1,2,1,,,,
28,.34,P,0.01,,256,internalizing problems - maternal,,maternal PSI parent domain,,,,1,1,2,1,,,,
28,.41,P,0.01,,256,externalizing problems - maternal,,maternal PSI parent domain,,,,1,1,2,1,,,,
28,.30,P,0.01,,256,internalizing problems - paternal,,maternal PSI parent domain,,,,1,1,2,1,,,,
28,.27,P,0.01,,256,externalizing problems - paternal,,maternal PSI parent domain,,,,1,1,2,1,,,,
28,.37,P,0.01,,256,internalizing problems - average,,maternal PSI parent domain,,,,1,1,2,1,,,,
28,.39,P,0.01,,256,externalizing problems - average,,maternal PSI parent domain,,,,1,1,2,1,,,,
28,.10,P,,1,256,low-pleasure exuberance,,postconceptual age,,,,1,1,2,,,,,
28,.05,P,,1,256,high-pleasure exuberance,,postconceptual age,,,,1,1,2,,,,,
28,.05,N,,1,256,internalizing problems - maternal,,postconceptual age,,,,1,1,2,,,,,
28,.03,P,,1,256,externalizing problems - maternal,,postconceptual age,,,,1,1,2,,,,,
28,.00,0,,1,256,internalizing problems - paternal,,postconceptual age,,,,1,1,2,,,,,
28,.01,P,,1,256,externalizing problems - paternal,,postconceptual age,,,,1,1,2,,,,,
28,.03,N,,1,256,internalizing problems - average,,postconceptual age,,,,1,1,2,,,,,
28,.03,P,,1,256,externalizing problems - average,,postconceptual age,,,,1,1,2,,,,,
28,.57,P,0.01,,256,high-pleasure exuberance,"The “Popping Bubbles” episode from the preschool
version of the Laboratory Temperament
Assessment Battery (Goldsmith, Reilly, Lemery,
Longley, & Prescott, 1999)",low pleasure exuberance,,,,1,1,2,,,,,
28,.06,N,,1,256,internalizing problems - maternal,,low pleasure exuberance,,,,1,1,2,1,,,,
28,.07,P,,1,256,externalizing problems - maternal,,low pleasure exuberance,,,,1,1,2,1,,,,
28,.03,P,,1,256,internalizing problems - paternal,,low pleasure exuberance,,,,1,1,2,1,,,,
28,.10,P,,1,256,externalizing problems - paternal,,low pleasure exuberance,,,,1,1,2,1,,,,
28,.02,N,,1,256,internalizing problems - average,,low pleasure exuberance,,,,1,1,2,1,,,,
28,.10,P,,1,256,externalizing problems - average,,low pleasure exuberance,,,,1,1,2,1,,,,
28,.68,P,0.01,,256,externalizing problems - maternal,,internalizing problems - maternal,,,,1,1,2,,,,,
28,.49,P,0.01,,256,internalizing problems - paternal,,internalizing problems - maternal,,,,1,1,2,,,,,
28,.31,P,0.01,,256,externalizing problems - paternal,,internalizing problems - maternal,,,,1,1,2,,,,,
28,.86,P,0.01,,256,internalizing problems - average,,internalizing problems - maternal,,,,1,1,2,,,,,
28,.56,P,0.01,,256,externalizing problems - average,,internalizing problems - maternal,,,,1,1,2,,,,,
28,.30,P,0.01,,256,internalizing problems - paternal,,externalizing problems - maternal,,,,1,1,2,,,,,
28,.55,P,0.01,,256,externalizing problems - paternal,,externalizing problems - maternal,,,,1,1,2,,,,,
28,.57,P,0.01,,256,internalizing problems - average,,externalizing problems - maternal,,,,1,1,2,,,,,
28,.88,P,0.01,,256,externalizing problems - average,,externalizing problems - maternal,,,,1,1,2,,,,,
28,.65,P,0.01,,256,externalizing problems - paternal,,internalizing problems - paternal,,,,1,1,2,,,,,
28,.87,P,0.01,,256,internalizing problems - average,,internalizing problems - paternal,,,,1,1,2,,,,,
28,.54,P,0.01,,256,externalizing problems - average,,internalizing problems - paternal,,,,1,1,2,,,,,
28,.56,P,0.01,,256,internalizing problems - average,,externalizing problems - paternal,,,,1,1,2,,,,,
28,.88,P,0.01,,256,externalizing problems - average,,externalizing problems - paternal,,,,1,1,2,,,,,
28,.64,P,0.01,,256,externalizing problems - average,,internalizing problems - average,,,,1,1,2,,,,,
29,.20,P,0.01,,257,self-esteem 1,,system justification,"system justification scale
adapted from Kay and Jost (2003)",,,1,1,2,1,,,,
29,.09,P,,1,257,self-esteem 2,,system justification,,,,1,1,2,1,,,,
29,.03,P,,1,257,self-esteem 3,,system justification,,,,1,1,2,1,,,,
29,.10,N,,1,257,internalizing 1,,system justification,,,,1,1,2,1,,,,
29,.02,N,,1,257,internalizing 2,,system justification,,,,1,1,2,1,,,,
29,.08,N,,1,257,internalizing 3,,system justification,,,,1,1,2,1,,,,
29,.26,P,0.001,,257,deviant 1,,system justification,,,,1,1,2,1,,,,
29,.21,N,0.05,,257,deviant 2,,system justification,,,,1,1,2,1,,,,
29,.07,N,,1,257,deviant 3,,system justification,,,,1,1,2,1,,,,
29,.23,P,0.001,,257,class behaviour 1,,system justification,,,,1,1,2,1,,,,
29,.15,P,0.05,,257,class behaviour 2,,system justification,,,,1,1,2,1,,,,
29,.08,P,,1,257,class behaviour 3,,system justification,,,,1,1,2,1,,,,
29,.05,P,,1,257,gender,,system justification,,,,1,1,2,,,,,
29,.03,P,,1,257,discrimination,,system justification,,,,1,1,2,,,,,
29,.58,P,0.001,,257,self-esteem 2,,self-esteem 1,,1,change,1,1,2,,,,,
29,.44,P,0.001,,257,self-esteem 3,,self-esteem 1,,1,change,1,1,2,,,,,
29,.62,N,0.001,,257,internalizing 1,,self-esteem 1,"Rosenberg’s global self-esteem scale (Rosenberg,
1989)",,,1,1,2,,,,,
29,.41,N,0.001,,257,internalizing 2,,self-esteem 1,,,,1,1,2,,,,,
29,.38,N,0.001,,257,internalizing 3,,self-esteem 1,,,,1,1,2,,,,,
29,.27,N,0.001,,257,deviant 1,,self-esteem 1,,,,1,1,2,,,,,
29,.19,N,0.05,,257,deviant 2,,self-esteem 1,,,,1,1,2,,,,,
29,.19,N,0.05,,257,deviant 3,,self-esteem 1,,,,1,1,2,,,,,
29,.19,P,0.01,,257,class behaviour 1,,self-esteem 1,,,,1,1,2,,,,,
29,.18,P,0.05,,257,class behaviour 2,,self-esteem 1,,,,1,1,2,,,,,
29,.12,P,,1,257,class behaviour 3,,self-esteem 1,,,,1,1,2,,,,,
29,.14,P,0.05,,257,gender,,self-esteem 1,,,,1,1,2,,,,,
29,.18,N,0.05,,257,discrimination,,self-esteem 1,,,,1,1,2,,,,,
29,.71,P,0.001,,257,self-esteem 3,,self-esteem 2,,1,change,1,1,2,,,,,
29,.48,N,0.001,,257,internalizing 1,"The Children’s Depression Inventory (Kovacs,
1992)",self-esteem 2,"Rosenberg’s global self-esteem scale (Rosenberg,
1989)",,,1,1,2,,,,,
29,.65,N,0.001,,257,internalizing 2,"The Children’s Depression Inventory (Kovacs,
1992)",self-esteem 2,,,,1,1,2,,,,,
29,.55,N,0.001,,257,internalizing 3,"The Children’s Depression Inventory (Kovacs,
1992)",self-esteem 2,,,,1,1,2,,,,,
29,.16,N,0.05,,257,deviant 1,"modified version of the Risky Behavior
Questionnaire (Eccles & Barber, 1990)",self-esteem 2,,,,1,1,2,,,,,
29,.28,N,0.001,,257,deviant 2,"modified version of the Risky Behavior
Questionnaire (Eccles & Barber, 1990)",self-esteem 2,,,,1,1,2,,,,,
29,.13,N,,1,257,deviant 3,,self-esteem 2,,,,1,1,2,,,,,
29,.14,P,0.1,,257,class behaviour 1,,self-esteem 2,,,,1,1,2,,,,,
29,.26,P,0.001,,257,class behaviour 2,,self-esteem 2,,,,1,1,2,,,,,
29,.07,P,,1,257,class behaviour 3,,self-esteem 2,,,,1,1,2,,,,,
29,.14,P,0.1,,257,gender,,self-esteem 2,,,,1,1,2,,,,,
29,.37,N,0.001,,257,discrimination,,self-esteem 2,,,,1,1,2,,,,,
29,.42,N,0.001,,257,internalizing 1,,self-esteem 3,"Rosenberg’s global self-esteem scale (Rosenberg,
1989)",,,1,1,2,,,,,
29,.59,N,0.001,,257,internalizing 2,,self-esteem 3,,,,1,1,2,,,,,
29,.68,N,0.001,,257,internalizing 3,,self-esteem 3,,,,1,1,2,,,,,
29,.24,N,0.05,,257,deviant 1,,self-esteem 3,,,,1,1,2,,,,,
29,.28,N,0.001,,257,deviant 2,,self-esteem 3,,,,1,1,2,,,,,
29,.24,N,0.05,,257,deviant 3,"modified version of the Risky Behavior
Questionnaire (Eccles & Barber, 1990)",self-esteem 3,,,,1,1,2,,,,,
29,.25,P,0.05,,257,class behaviour 1,"Classroom
Regulatory Behaviors Scale (Santos &
Menjivar, 2013).",self-esteem 3,,,,1,1,2,,,,,
29,.19,P,0.05,,257,class behaviour 2,"Classroom
Regulatory Behaviors Scale (Santos &
Menjivar, 2013).",self-esteem 3,,,,1,1,2,,,,,
29,.14,P,0.1,,257,class behaviour 3,"Classroom
Regulatory Behaviors Scale (Santos &
Menjivar, 2013).",self-esteem 3,,,,1,1,2,,,,,
29,.15,P,0.1,,257,gender,,self-esteem 3,,,,1,1,2,,,,,
29,.41,N,0.001,,257,discrimination,"10-item measure of perceived
interpersonal ethnic discrimination from
“others” and societal authorities (shopkeepers,
police, teachers; Whitbeck, Hoyt, McMorris, Chen,
& Stubben, 2001)",self-esteem 3,,,,1,1,2,,,,,
29,.59,P,0.001,,257,internalizing 2,,internalizing 1,,1,change,1,1,2,,,,,
29,.54,P,0.001,,257,internalizing 3,,internalizing 1,,1,change,1,1,2,,,,,
29,.23,P,0.001,,257,deviant 1,,internalizing 1,,,,1,1,2,,,,,
29,.17,P,0.05,,257,deviant 2,,internalizing 1,,,,1,1,2,,,,,
29,.13,P,,1,257,deviant 3,,internalizing 1,,,,1,1,2,,,,,
29,.09,N,,1,257,class behaviour 1,,internalizing 1,,,,1,1,2,,,,,
29,.06,N,,1,257,class behaviour 2,,internalizing 1,,,,1,1,2,,,,,
29,.02,N,,1,257,class behaviour 3,,internalizing 1,,,,1,1,2,,,,,
29,.22,N,0.001,,257,gender,,internalizing 1,,,,1,1,2,,,,,
29,.25,P,0.001,,257,discrimination,,internalizing 1,,,,1,1,2,,,,,
29,.65,P,0.001,,257,internalizing 3,,internalizing 2,,1,change,1,1,2,,,,,
29,.03,P,,1,257,deviant 1,,internalizing 2,,,,1,1,2,,,,,
29,.18,P,0.05,,257,deviant 2,,internalizing 2,,,,1,1,2,,,,,
29,.03,P,,1,257,deviant 3,,internalizing 2,,,,1,1,2,,,,,
29,.09,N,,1,257,class behaviour 1,,internalizing 2,,,,1,1,2,,,,,
29,.11,N,,1,257,class behaviour 2,,internalizing 2,,,,1,1,2,,,,,
29,.04,N,,1,257,class behaviour 3,,internalizing 2,,,,1,1,2,,,,,
29,.19,N,0.05,,257,gender,,internalizing 2,,,,1,1,2,,,,,
29,.46,P,0.001,,257,discrimination,,internalizing 2,,,,1,1,2,,,,,
29,.11,P,,1,257,deviant 1,,internalizing 3,,,,1,1,2,,,,,
29,.16,P,0.01,,257,deviant 2,,internalizing 3,,,,1,1,2,,,,,
29,.14,P,0.1,,257,deviant 3,,internalizing 3,,,,1,1,2,,,,,
29,.14,N,0.1,,257,class behaviour 1,,internalizing 3,,,,1,1,2,,,,,
29,.10,N,,1,257,class behaviour 2,,internalizing 3,,,,1,1,2,,,,,
29,.08,N,,1,257,class behaviour 3,,internalizing 3,,,,1,1,2,,,,,
29,.27,N,0.001,,257,gender,,internalizing 3,,,,1,1,2,,,,,
29,.46,P,0.001,,257,discrimination,,internalizing 3,,,,1,1,2,,,,,
29,.69,P,0.001,,257,deviant 2,,deviant 1,,1,change,1,1,2,,,,,
29,.65,P,0.001,,257,deviant 3,,deviant 1,,1,change,1,1,2,,,,,
29,.50,N,0.001,,257,class behaviour 1,,deviant 1,,,,1,1,2,,,,,
29,.50,N,0.001,,257,class behaviour 2,,deviant 1,,,,1,1,2,,,,,
29,.43,N,0.001,,257,class behaviour 3,,deviant 1,,,,1,1,2,,,,,
29,.09,P,,1,257,gender,,deviant 1,,,,1,1,2,,,,,
29,.14,P,0.05,,257,discrimination,,deviant 1,,,,1,1,2,,,,,
29,.78,P,0.001,,257,deviant 3,,deviant 2,,1,change,1,1,2,,,,,
29,.43,N,0.001,,257,class behaviour 1,,deviant 2,,,,1,1,2,,,,,
29,.57,N,0.001,,257,class behaviour 2,,deviant 2,,,,1,1,2,,,,,
29,.51,N,0.001,,257,class behaviour 3,,deviant 2,,,,1,1,2,,,,,
29,.10,P,,1,257,gender,,deviant 2,,,,1,1,2,,,,,
29,.26,P,0.001,,257,discrimination,,deviant 2,,,,1,1,2,,,,,
29,.39,N,0.001,,257,class behaviour 1,,deviant 3,,,,1,1,2,,,,,
29,.48,N,0.001,,257,class behaviour 2,,deviant 3,,,,1,1,2,,,,,
29,.60,N,0.001,,257,class behaviour 3,,deviant 3,,,,1,1,2,,,,,
29,.08,P,,1,257,gender,,deviant 3,,,,1,1,2,,,,,
29,.17,P,0.05,,257,discrimination,,deviant 3,,,,1,1,2,,,,,
29,.64,P,0.001,,257,class behaviour 2,,class behaviour 1,,1,change,1,1,2,,,,,
29,.53,P,0.001,,257,class behaviour 3,,class behaviour 1,,1,change,1,1,2,,,,,
29,.10,N,0.1,,257,gender,,class behaviour 1,,,,1,1,2,,,,,
29,.17,N,0.01,,257,discrimination,,class behaviour 1,,,,1,1,2,,,,,
29,.65,P,0.001,,257,class behaviour 3,,class behaviour 2,,1,change,1,1,2,,,,,
29,.18,N,0.01,,257,gender,,class behaviour 2,,,,1,1,2,,,,,
29,.22,N,0.01,,257,discrimination,,class behaviour 2,,,,1,1,2,,,,,
29,.17,N,0.01,,257,gender,,class behaviour 3,,,,1,1,2,,,,,
29,.09,N,,1,257,discrimination,,class behaviour 3,,,,1,1,2,,,,,
29,.07,P,0.1,,257,discrimination,,gender,,,,1,1,2,,,,,
30,.13,P,0.05,,245,interparental conflict,,skill encouragement,,,,1,1,2,,Pearson,,"mentioned as a range of correlations .13-.19, all Pearson's, all p<0.05, for [interparental conflict, parent separation or divorce, parent substance abuse, parental mental illness] and more skill encouragement",
30,.19,P,0.05,,245,parent mental illness,,skill encouragement,,,,1,1,2,,Pearson,,"mentioned as a range of correlations .13-.19, all Pearson's, all p<0.05, for [interparental conflict, parent separation or divorce, parent substance abuse, parental mental illness] and more skill encouragement",
30,.04,P,,1,245,child sex,,child age,,,,1,1,2,,Pearson,,,
30,.13,P,0.05,,245,child sex,,sociodemographic risk,,,,1,1,2,,Spearman's rho,,,
30,.01,P,,1,245,child age,,sociodemographic risk,,,,1,1,2,,Spearman's rho,,,
30,.01,P,,1,245,child sex,,family adversity,,,,1,1,2,,Spearman's rho,,,
30,.04,N,,1,245,child age,,family adversity,,,,1,1,2,,Spearman's rho,,,
30,.23,P,0.01,,245,sociodemographic risk,"Based on
10 previously established risk factors relevant to
disadvantaged families (listed in Table 2), a cumulative
sociodemographic risk score was calculated
for each family (Obradovic et al., 2012) based on demographic info provided by parents",family adversity,,,,1,1,2,,Spearman's rho,,,
30,.04,N,,1,245,child sex,,parenting quality,,,,1,1,2,,Pearson,,,
30,.03,P,,1,245,child age,,parenting quality,,,,1,1,2,,Pearson,,,
30,.01,N,,1,245,sociodemographic risk,,parenting quality,,,,1,1,2,,Spearman's rho,,,
30,.14,P,0.034,,245,family adversity,"the Lifetime Events Questionnaire (Cutuli
et al., 2010; Masten et al., 1993).",parenting quality,,,,1,1,2,,Spearman's rho,,p=0.034,
30,.07,N,,1,245,child sex,,peer acceptance,,,,1,1,2,,Pearson,,,
30,.05,P,,1,245,child age,,peer acceptance,,,,1,1,2,,Pearson,,,
30,.02,N,,1,245,sociodemographic risk,,peer acceptance,,,,1,1,2,,Spearman's rho,,,
30,.02,P,,1,245,family adversity,,peer acceptance,,,,1,1,2,1,Spearman's rho,,,
30,.15,P,0.05,,245,parenting quality,"During videotaped interactions, dyads engaged
in a series of structured tasks designed to elicit
mutual enjoyment, limit setting, communication,
cooperation, and competitive play (DeGarmo, Patterson,
& Forgatch, 2004).",peer acceptance,,,,1,1,2,1,Pearson,,,
30,.22,N,0.01,,245,child sex,,teacher-child relationship,,,,1,1,2,,Pearson,,,
30,.08,N,,1,245,child age,,teacher-child relationship,,,,1,1,2,,Pearson,,,
30,.19,N,0.01,,245,sociodemographic risk,,teacher-child relationship,,,,1,1,2,1,Spearman's rho,,,
30,.07,N,,1,245,family adversity,,teacher-child relationship,,,,1,1,2,1,Spearman's rho,,,
30,.10,P,,1,245,parenting quality,,teacher-child relationship,,,,1,1,2,1,Pearson,,,
30,.53,P,0.01,,245,peer acceptance,"teachers completed
subscales from the Health and Behavior Questionnaire
(HBQ; Armstrong & Goldstein, 2003)",teacher-child relationship,,,,1,1,2,,Pearson,,,
30,.07,P,,1,245,child sex,,internalizing,,,,1,1,2,,Pearson,,,
30,.06,N,,1,245,child age,,internalizing,,,,1,1,2,,Pearson,,,
30,.05,P,,1,245,sociodemographic risk,,internalizing,,,,1,1,2,1,Spearman's rho,,,
30,.08,P,,1,245,family adversity,,internalizing,,,,1,1,2,1,Spearman's rho,,,
30,.06,N,,1,245,parenting quality,,internalizing,,,,1,1,2,1,Pearson,,,
30,.34,N,0.01,,245,peer acceptance,,internalizing,"In 2008–2009, teachers completed subscales
from the HBQ (Armstrong & Goldstein, 2003)
reflecting internalizing and externalizing behavior
problems.

In 2012, teachers completed the emotional problems,
conduct problems, and hyperactivity subscales
from the Strengths and Difficulties
Questionnaire (c; Goodman, 1997).",,,1,1,2,,Pearson,,,
30,.46,N,0.01,,245,teacher-child relationship,"teachers completed
subscales from the Health and Behavior Questionnaire
(HBQ; Armstrong & Goldstein, 2003)",internalizing,,,,1,1,2,,Pearson,,,
30,.34,P,0.01,,245,child sex,,externalizing,"In 2008–2009, teachers completed subscales
from the HBQ (Armstrong & Goldstein, 2003)
reflecting internalizing and externalizing behavior
problems.

In 2012, teachers completed the emotional problems,
conduct problems, and hyperactivity subscales
from the Strengths and Difficulties
Questionnaire (c; Goodman, 1997).",,,1,1,2,,Pearson,,,
30,.06,P,,1,245,child age,,externalizing,,,,1,1,2,,Pearson,,,
30,.18,P,0.05,,245,sociodemographic risk,,externalizing,,,,1,1,2,1,Spearman's rho,,,
30,.01,P,,1,245,family adversity,,externalizing,,,,1,1,2,1,Spearman's rho,,,
30,.06,N,,1,245,parenting quality,,externalizing,,,,1,1,2,1,Pearson,,,
30,.50,N,0.01,,245,peer acceptance,,externalizing,,,,1,1,2,,Pearson,,,
30,.67,N,0.01,,245,teacher-child relationship,,externalizing,,,,1,1,2,,Pearson,,,
30,.37,P,0.01,,245,internalizing,,externalizing,,,,1,1,2,,Pearson,,,
31,.448,P,0.05,,2137,household wealth,"measured using the Simple Poverty Scorecard for
Ghana (Schreiner & Woller, 2010) and national poverty line, measured by household consumption
expenditures (though there is some confusion in description and another measure may have been used as well)",caregiver education,"Primary caregivers were asked the
highest level of education they completed",,,1,1,2,,,,,
31,.267,P,0.05,,2137,household wealth,,at home stimulation,"six
adapted questions from the Multiple Indicators
Cluster Survey (MICS; UNICEF, 2014c).",,,1,1,2,1,,,,
31,.290,P,0.05,,2137,caregiver education,,at home stimulation,,,,1,1,2,1,,,,
31,.160,P,0.05,,2137,household wealth,,school involvement,,,,1,1,2,1,,,,
31,.188,P,0.05,,2137,caregiver education,,school involvement,,,,1,1,2,1,,,,
31,.664,P,0.05,,2137,at home stimulation,,school involvement,,,,1,1,2,,,,,
31,.273,P,0.05,,2137,household wealth,,number of books in the home,"MICS survey (UNICEF, 2014c)",,,1,1,2,1,,,,
31,.293,P,0.05,,2137,caregiver education,,number of books in the home,,,,1,1,2,1,,,,
31,.199,P,0.05,,2137,at home stimulation,,number of books in the home,,,,1,1,2,,,,,
31,.123,P,0.05,,2137,household wealth,,child numeracy domain score,"the International Development and Early
Learning Assessment (IDELA; Pisani et al., 2015)",,,1,1,2,1,,,,
31,.088,P,0.05,,2137,caregiver education,,child numeracy domain score,,,,1,1,2,1,,,,
31,.032,P,,1,2137,at home stimulation,,child numeracy domain score,,,,1,1,2,1,,,,
31,.064,P,0.05,,2137,school involvement,,child numeracy domain score,,,,1,1,2,1,,,,
31,.063,P,0.05,,2137,number of books in the home,,child numeracy domain score,,,,1,1,2,1,,,,
31,.182,P,0.05,,2137,household wealth,,child literacy domain score,"the International Development and Early
Learning Assessment (IDELA; Pisani et al., 2015)",,,1,1,2,1,,,,
31,.135,P,0.05,,2137,caregiver education,,child literacy domain score,,,,1,1,2,1,,,,
31,.056,P,0.05,,2137,at home stimulation,,child literacy domain score,,,,1,1,2,1,,,,
31,.080,P,0.05,,2137,school involvement,,child literacy domain score,,,,1,1,2,1,,,,
31,.100,P,0.05,,2137,number of books in the home,,child literacy domain score,,,,1,1,2,1,,,,
31,.764,P,0.05,,2137,child numeracy domain score,,child literacy domain score,,,,1,1,2,,,,,
31,.049,P,0.05,,2137,household wealth,,child motor domain score,"the International Development and Early
Learning Assessment (IDELA; Pisani et al., 2015)",,,1,1,2,1,,,,
31,.011,P,,1,2137,caregiver education,,child motor domain score,,,,1,1,2,1,,,,
31,.011,N,,1,2137,at home stimulation,,child motor domain score,,,,1,1,2,1,,,,
31,.027,P,,1,2137,school involvement,,child motor domain score,,,,1,1,2,1,,,,
31,.032,P,,1,2137,number of books in the home,,child motor domain score,,,,1,1,2,1,,,,
31,.609,P,0.05,,2137,child numeracy domain score,,child motor domain score,,,,1,1,2,,,,,
31,.612,P,0.05,,2137,child literacy domain score,,child motor domain score,,,,1,1,2,,,,,
31,.033,P,,1,2137,household wealth,,child social-emotional domain score,,,,1,1,2,1,,,,
31,.048,P,0.05,,2137,caregiver education,,child social-emotional domain score,"the International Development and Early
Learning Assessment (IDELA; Pisani et al., 2015)",,,1,1,2,1,,,,
31,.009,P,,1,2137,at home stimulation,,child social-emotional domain score,,,,1,1,2,1,,,,
31,.033,P,,1,2137,school involvement,,child social-emotional domain score,,,,1,1,2,1,,,,
31,.027,P,,1,2137,number of books in the home,,child social-emotional domain score,,,,1,1,2,1,,,,
31,.502,P,0.05,,2137,child numeracy domain score,,child social-emotional domain score,,,,1,1,2,,,,,
31,.532,P,0.05,,2137,child literacy domain score,,child social-emotional domain score,,,,1,1,2,,,,,
31,.400,P,0.05,,2137,child motor domain score,,child social-emotional domain score,,,,1,1,2,,,,,
31,.047,P,0.05,,2137,household wealth,,child executive function domain score,"the International Development and Early
Learning Assessment (IDELA; Pisani et al., 2015)",,,1,1,2,1,,,,
31,.027,P,,1,2137,caregiver education,,child executive function domain score,,,,1,1,2,1,,,,
31,.021,N,,1,2137,at home stimulation,,child executive function domain score,,,,1,1,2,1,,,,
31,.020,N,,1,2137,school involvement,,child executive function domain score,,,,1,1,2,1,,,,
31,.024,P,,1,2137,number of books in the home,,child executive function domain score,,,,1,1,2,1,,,,
